year,ncessch,school_name,state_name,disability,enrollment_crdc
2015,1.10002E+11,The Next Step El Pr?ximo Paso PCS,District of Columbia,Total,393
2015,1.10002E+11,The Next Step El Pr?ximo Paso PCS,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10002E+11,Washington Latin PCS Middle School,District of Columbia,Students with disabilities served under Section 504,15
2015,1.10002E+11,Washington Latin PCS Middle School,District of Columbia,Total,347
2015,1.10002E+11,Washington Latin PCS Middle School,District of Columbia,Students with disabilities served under IDEA,25
2015,1.10002E+11,Washington Latin PCS Upper School,District of Columbia,Students with disabilities served under Section 504,15
2015,1.10002E+11,Washington Latin PCS Upper School,District of Columbia,Total,340
2015,1.10002E+11,Washington Latin PCS Upper School,District of Columbia,Students with disabilities served under IDEA,30
2015,1.10002E+11,Roots PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10002E+11,Roots PCS,District of Columbia,Total,106
2015,1.10002E+11,Roots PCS,District of Columbia,Students with disabilities served under IDEA,
2015,1.10002E+11,SEED PCS of Washington DC,District of Columbia,Students with disabilities served under Section 504,19
2015,1.10002E+11,SEED PCS of Washington DC,District of Columbia,Total,351
2015,1.10002E+11,SEED PCS of Washington DC,District of Columbia,Students with disabilities served under IDEA,62
2015,1.10003E+11,Washington Math Science Tech PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,Washington Math Science Tech PCS,District of Columbia,Total,260
2015,1.10003E+11,Washington Math Science Tech PCS,District of Columbia,Students with disabilities served under IDEA,53
2015,1.10003E+11,Cedar Tree Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Cedar Tree Academy PCS,District of Columbia,Total,364
2015,1.10003E+11,Cedar Tree Academy PCS,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10003E+11,Murch ES,District of Columbia,Students with disabilities served under Section 504,21
2015,1.10003E+11,Murch ES,District of Columbia,Total,632
2015,1.10003E+11,Murch ES,District of Columbia,Students with disabilities served under IDEA,31
2015,1.10003E+11,Moten ES,District of Columbia,Students with disabilities served under Section 504,5
2015,1.10003E+11,Moten ES,District of Columbia,Total,425
2015,1.10003E+11,Moten ES,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10003E+11,Miner ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Miner ES,District of Columbia,Total,397
2015,1.10003E+11,Miner ES,District of Columbia,Students with disabilities served under IDEA,62
2015,1.10003E+11,Roosevelt HS at MacFarland,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Roosevelt HS at MacFarland,District of Columbia,Total,498
2015,1.10003E+11,Roosevelt HS at MacFarland,District of Columbia,Students with disabilities served under IDEA,112
2015,1.10003E+11,Takoma EC,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10003E+11,Takoma EC,District of Columbia,Total,473
2015,1.10003E+11,Takoma EC,District of Columbia,Students with disabilities served under IDEA,78
2015,1.10003E+11,Stanton ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Stanton ES,District of Columbia,Total,534
2015,1.10003E+11,Stanton ES,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10003E+11,Ellington School of the Arts,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,Ellington School of the Arts,District of Columbia,Total,529
2015,1.10003E+11,Ellington School of the Arts,District of Columbia,Students with disabilities served under IDEA,28
2015,1.10003E+11,Sousa MS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Sousa MS,District of Columbia,Total,251
2015,1.10003E+11,Sousa MS,District of Columbia,Students with disabilities served under IDEA,59
2015,1.10003E+11,Seaton ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Seaton ES,District of Columbia,Total,312
2015,1.10003E+11,Seaton ES,District of Columbia,Students with disabilities served under IDEA,43
2015,1.10003E+11,Savoy ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Savoy ES,District of Columbia,Total,356
2015,1.10003E+11,Savoy ES,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10003E+11,Ross ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Ross ES,District of Columbia,Total,170
2015,1.10003E+11,Ross ES,District of Columbia,Students with disabilities served under IDEA,
2015,1.10003E+11,Randle Highlands ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Randle Highlands ES,District of Columbia,Total,341
2015,1.10003E+11,Randle Highlands ES,District of Columbia,Students with disabilities served under IDEA,38
2015,1.10003E+11,Shepherd ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Shepherd ES,District of Columbia,Total,334
2015,1.10003E+11,Shepherd ES,District of Columbia,Students with disabilities served under IDEA,24
2015,1.10003E+11,Marie Reed ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Marie Reed ES,District of Columbia,Total,400
2015,1.10003E+11,Marie Reed ES,District of Columbia,Students with disabilities served under IDEA,30
2015,1.10003E+11,Raymond EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Raymond EC,District of Columbia,Total,575
2015,1.10003E+11,Raymond EC,District of Columbia,Students with disabilities served under IDEA,70
2015,1.10003E+11,Maury ES,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10003E+11,Maury ES,District of Columbia,Total,385
2015,1.10003E+11,Maury ES,District of Columbia,Students with disabilities served under IDEA,22
2015,1.10003E+11,Mann ES,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Mann ES,District of Columbia,Total,359
2015,1.10003E+11,Mann ES,District of Columbia,Students with disabilities served under IDEA,11
2015,1.10003E+11,Malcolm X ES at Green,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Malcolm X ES at Green,District of Columbia,Total,240
2015,1.10003E+11,Malcolm X ES at Green,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Ludlow Taylor ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Ludlow Taylor ES,District of Columbia,Total,374
2015,1.10003E+11,Ludlow Taylor ES,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10003E+11,Leckie ES,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,Leckie ES,District of Columbia,Total,520
2015,1.10003E+11,Leckie ES,District of Columbia,Students with disabilities served under IDEA,42
2015,1.10003E+11,LaSalle Backus EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,LaSalle Backus EC,District of Columbia,Total,351
2015,1.10003E+11,LaSalle Backus EC,District of Columbia,Students with disabilities served under IDEA,61
2015,1.10003E+11,Langdon EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Langdon EC,District of Columbia,Total,305
2015,1.10003E+11,Langdon EC,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10003E+11,Lafayette ES,District of Columbia,Students with disabilities served under Section 504,14
2015,1.10003E+11,Lafayette ES,District of Columbia,Total,701
2015,1.10003E+11,Lafayette ES,District of Columbia,Students with disabilities served under IDEA,27
2015,1.10003E+11,Watkins ES Capitol Hill Cluster,District of Columbia,Students with disabilities served under Section 504,17
2015,1.10003E+11,Watkins ES Capitol Hill Cluster,District of Columbia,Total,467
2015,1.10003E+11,Watkins ES Capitol Hill Cluster,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10003E+11,Thomas ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Thomas ES,District of Columbia,Total,414
2015,1.10003E+11,Thomas ES,District of Columbia,Students with disabilities served under IDEA,59
2015,1.10003E+11,Stoddert ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Stoddert ES,District of Columbia,Total,430
2015,1.10003E+11,Stoddert ES,District of Columbia,Students with disabilities served under IDEA,12
2015,1.10003E+11,Simon ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Simon ES,District of Columbia,Total,305
2015,1.10003E+11,Simon ES,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Woodson H D HS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Woodson H D HS,District of Columbia,Total,668
2015,1.10003E+11,Woodson H D HS,District of Columbia,Students with disabilities served under IDEA,167
2015,1.10003E+11,J O Wilson ES,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,J O Wilson ES,District of Columbia,Total,508
2015,1.10003E+11,J O Wilson ES,District of Columbia,Students with disabilities served under IDEA,64
2015,1.10003E+11,Smothers ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Smothers ES,District of Columbia,Total,291
2015,1.10003E+11,Smothers ES,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10003E+11,Whittier EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Whittier EC,District of Columbia,Total,364
2015,1.10003E+11,Whittier EC,District of Columbia,Students with disabilities served under IDEA,79
2015,1.10003E+11,West EC,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,West EC,District of Columbia,Total,304
2015,1.10003E+11,West EC,District of Columbia,Students with disabilities served under IDEA,37
2015,1.10003E+11,Wheatley EC,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Wheatley EC,District of Columbia,Total,365
2015,1.10003E+11,Wheatley EC,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10003E+11,Walker Jones EC,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10003E+11,Walker Jones EC,District of Columbia,Total,451
2015,1.10003E+11,Walker Jones EC,District of Columbia,Students with disabilities served under IDEA,96
2015,1.10003E+11,Tyler ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Tyler ES,District of Columbia,Total,520
2015,1.10003E+11,Tyler ES,District of Columbia,Students with disabilities served under IDEA,84
2015,1.10003E+11,Turner ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Turner ES,District of Columbia,Total,469
2015,1.10003E+11,Turner ES,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10003E+11,Tubman ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Tubman ES,District of Columbia,Total,550
2015,1.10003E+11,Tubman ES,District of Columbia,Students with disabilities served under IDEA,82
2015,1.10003E+11,Truesdell EC,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Truesdell EC,District of Columbia,Total,592
2015,1.10003E+11,Truesdell EC,District of Columbia,Students with disabilities served under IDEA,88
2015,1.10003E+11,Thomson ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Thomson ES,District of Columbia,Total,282
2015,1.10003E+11,Thomson ES,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10003E+11,Eastern HS,District of Columbia,Students with disabilities served under Section 504,20
2015,1.10003E+11,Eastern HS,District of Columbia,Total,983
2015,1.10003E+11,Eastern HS,District of Columbia,Students with disabilities served under IDEA,254
2015,1.10003E+11,Dunbar HS,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,Dunbar HS,District of Columbia,Total,659
2015,1.10003E+11,Dunbar HS,District of Columbia,Students with disabilities served under IDEA,162
2015,1.10003E+11,Coolidge HS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Coolidge HS,District of Columbia,Total,386
2015,1.10003E+11,Coolidge HS,District of Columbia,Students with disabilities served under IDEA,100
2015,1.10003E+11,Cardozo EC,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Cardozo EC,District of Columbia,Total,787
2015,1.10003E+11,Cardozo EC,District of Columbia,Students with disabilities served under IDEA,199
2015,1.10003E+11,Ballou HS,District of Columbia,Students with disabilities served under Section 504,13
2015,1.10003E+11,Ballou HS,District of Columbia,Total,935
2015,1.10003E+11,Ballou HS,District of Columbia,Students with disabilities served under IDEA,242
2015,1.10003E+11,Anacostia HS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,Anacostia HS,District of Columbia,Total,604
2015,1.10003E+11,Anacostia HS,District of Columbia,Students with disabilities served under IDEA,179
2015,1.10003E+11,Eaton ES,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10003E+11,Eaton ES,District of Columbia,Total,482
2015,1.10003E+11,Eaton ES,District of Columbia,Students with disabilities served under IDEA,27
2015,1.10003E+11,Drew ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Drew ES,District of Columbia,Total,248
2015,1.10003E+11,Drew ES,District of Columbia,Students with disabilities served under IDEA,41
2015,1.10003E+11,H D Cooke ES,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,H D Cooke ES,District of Columbia,Total,395
2015,1.10003E+11,H D Cooke ES,District of Columbia,Students with disabilities served under IDEA,43
2015,1.10003E+11,King M L ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,King M L ES,District of Columbia,Total,397
2015,1.10003E+11,King M L ES,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10003E+11,Cleveland ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Cleveland ES,District of Columbia,Total,321
2015,1.10003E+11,Cleveland ES,District of Columbia,Students with disabilities served under IDEA,27
2015,1.10003E+11,Burrville ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Burrville ES,District of Columbia,Total,331
2015,1.10003E+11,Burrville ES,District of Columbia,Students with disabilities served under IDEA,20
2015,1.10003E+11,Burroughs EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Burroughs EC,District of Columbia,Total,295
2015,1.10003E+11,Burroughs EC,District of Columbia,Students with disabilities served under IDEA,38
2015,1.10003E+11,Bruce Monroe ES at Park View,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Bruce Monroe ES at Park View,District of Columbia,Total,478
2015,1.10003E+11,Bruce Monroe ES at Park View,District of Columbia,Students with disabilities served under IDEA,51
2015,1.10003E+11,Bunker Hill ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Bunker Hill ES,District of Columbia,Total,157
2015,1.10003E+11,Bunker Hill ES,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10003E+11,Brightwood EC,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Brightwood EC,District of Columbia,Total,720
2015,1.10003E+11,Brightwood EC,District of Columbia,Students with disabilities served under IDEA,64
2015,1.10003E+11,Brent ES,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,Brent ES,District of Columbia,Total,390
2015,1.10003E+11,Brent ES,District of Columbia,Students with disabilities served under IDEA,22
2015,1.10003E+11,Beers ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Beers ES,District of Columbia,Total,440
2015,1.10003E+11,Beers ES,District of Columbia,Students with disabilities served under IDEA,83
2015,1.10003E+11,Barnard ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Barnard ES,District of Columbia,Total,638
2015,1.10003E+11,Barnard ES,District of Columbia,Students with disabilities served under IDEA,73
2015,1.10003E+11,Bancroft ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Bancroft ES,District of Columbia,Total,515
2015,1.10003E+11,Bancroft ES,District of Columbia,Students with disabilities served under IDEA,52
2015,1.10003E+11,Amidon Bowen  ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Amidon Bowen  ES,District of Columbia,Total,353
2015,1.10003E+11,Amidon Bowen  ES,District of Columbia,Students with disabilities served under IDEA,77
2015,1.10003E+11,Aiton ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Aiton ES,District of Columbia,Total,260
2015,1.10003E+11,Aiton ES,District of Columbia,Students with disabilities served under IDEA,41
2015,1.10003E+11,Powell ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Powell ES,District of Columbia,Total,509
2015,1.10003E+11,Powell ES,District of Columbia,Students with disabilities served under IDEA,52
2015,1.10003E+11,Plummer ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Plummer ES,District of Columbia,Total,414
2015,1.10003E+11,Plummer ES,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10003E+11,School Without Walls HS,District of Columbia,Students with disabilities served under Section 504,36
2015,1.10003E+11,School Without Walls HS,District of Columbia,Total,593
2015,1.10003E+11,School Without Walls HS,District of Columbia,Students with disabilities served under IDEA,
2015,1.10003E+11,Wilson HS,District of Columbia,Students with disabilities served under Section 504,51
2015,1.10003E+11,Wilson HS,District of Columbia,Total,1798
2015,1.10003E+11,Wilson HS,District of Columbia,Students with disabilities served under IDEA,220
2015,1.10003E+11,Hart MS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Hart MS,District of Columbia,Total,391
2015,1.10003E+11,Hart MS,District of Columbia,Students with disabilities served under IDEA,98
2015,1.10003E+11,Deal MS,District of Columbia,Students with disabilities served under Section 504,82
2015,1.10003E+11,Deal MS,District of Columbia,Total,1340
2015,1.10003E+11,Deal MS,District of Columbia,Students with disabilities served under IDEA,115
2015,1.10003E+11,Kramer MS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Kramer MS,District of Columbia,Total,251
2015,1.10003E+11,Kramer MS,District of Columbia,Students with disabilities served under IDEA,62
2015,1.10003E+11,Johnson John Hayden MS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Johnson John Hayden MS,District of Columbia,Total,294
2015,1.10003E+11,Johnson John Hayden MS,District of Columbia,Students with disabilities served under IDEA,71
2015,1.10003E+11,School Without Walls at Francis Stevens,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,School Without Walls at Francis Stevens,District of Columbia,Total,444
2015,1.10003E+11,School Without Walls at Francis Stevens,District of Columbia,Students with disabilities served under IDEA,61
2015,1.10003E+11,Eliot Hine MS,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,Eliot Hine MS,District of Columbia,Total,211
2015,1.10003E+11,Eliot Hine MS,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10003E+11,Browne EC,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Browne EC,District of Columbia,Total,330
2015,1.10003E+11,Browne EC,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10003E+11,Benjamin Banneker HS,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Benjamin Banneker HS,District of Columbia,Total,456
2015,1.10003E+11,Benjamin Banneker HS,District of Columbia,Students with disabilities served under IDEA,8
2015,1.10003E+11,Peabody ES Capital Hill Cluster,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Peabody ES Capital Hill Cluster,District of Columbia,Total,224
2015,1.10003E+11,Peabody ES Capital Hill Cluster,District of Columbia,Students with disabilities served under IDEA,8
2015,1.10003E+11,Payne ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Payne ES,District of Columbia,Total,304
2015,1.10003E+11,Payne ES,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Patterson ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Patterson ES,District of Columbia,Total,404
2015,1.10003E+11,Patterson ES,District of Columbia,Students with disabilities served under IDEA,71
2015,1.10003E+11,Oyster Adams Bilingual School Oyster,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10003E+11,Oyster Adams Bilingual School Oyster,District of Columbia,Total,662
2015,1.10003E+11,Oyster Adams Bilingual School Oyster,District of Columbia,Students with disabilities served under IDEA,65
2015,1.10003E+11,Orr ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Orr ES,District of Columbia,Total,422
2015,1.10003E+11,Orr ES,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10003E+11,Nalle ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Nalle ES,District of Columbia,Total,391
2015,1.10003E+11,Nalle ES,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Noyes ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Noyes ES,District of Columbia,Total,196
2015,1.10003E+11,Noyes ES,District of Columbia,Students with disabilities served under IDEA,39
2015,1.10003E+11,Garfield ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Garfield ES,District of Columbia,Total,307
2015,1.10003E+11,Garfield ES,District of Columbia,Students with disabilities served under IDEA,38
2015,1.10003E+11,Garrison ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Garrison ES,District of Columbia,Total,247
2015,1.10003E+11,Garrison ES,District of Columbia,Students with disabilities served under IDEA,61
2015,1.10003E+11,Kimball ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Kimball ES,District of Columbia,Total,355
2015,1.10003E+11,Kimball ES,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10003E+11,Key ES,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,Key ES,District of Columbia,Total,388
2015,1.10003E+11,Key ES,District of Columbia,Students with disabilities served under IDEA,21
2015,1.10003E+11,Ketcham ES,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Ketcham ES,District of Columbia,Total,310
2015,1.10003E+11,Ketcham ES,District of Columbia,Students with disabilities served under IDEA,20
2015,1.10003E+11,Janney ES,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10003E+11,Janney ES,District of Columbia,Total,736
2015,1.10003E+11,Janney ES,District of Columbia,Students with disabilities served under IDEA,39
2015,1.10003E+11,Hyde Addison ES,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10003E+11,Hyde Addison ES,District of Columbia,Total,314
2015,1.10003E+11,Hyde Addison ES,District of Columbia,Students with disabilities served under IDEA,8
2015,1.10003E+11,Houston ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Houston ES,District of Columbia,Total,274
2015,1.10003E+11,Houston ES,District of Columbia,Students with disabilities served under IDEA,45
2015,1.10003E+11,Hendley ES,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,Hendley ES,District of Columbia,Total,469
2015,1.10003E+11,Hendley ES,District of Columbia,Students with disabilities served under IDEA,62
2015,1.10003E+11,Hearst ES,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Hearst ES,District of Columbia,Total,314
2015,1.10003E+11,Hearst ES,District of Columbia,Students with disabilities served under IDEA,35
