attending_school,case_no,casetype,dcps_school_against,home_school
Roosevelt High School,2012-0037,Against LEA,Kelly M iller MS,Sousa M iddle School
Kennedy Institu te,2012-0035,Against LEA,Kelly M iller MS,Jefferson MS
Ballou Senior High School,2012-0038,Against LEA,Ballou Senior High School,Jefferson MS
Monroe School,2012-0046,Against LEA,Ballou Senior High School,Jefferson MS
Monroe School,2012-0046,Against LEA,Woodson Academy@,Jefferson MS
Monroe School,2012-0046,Against LEA,Woodson Academy @ Ron Brown,Academy@ Ron
Woodson Academy @ Ron Brown,2012-0042,Against LEA,Woodson Academy @ Ron Brown,Academy@ Ron
Woodson Academy @ Ron Brown,2012-0042,Against LEA,Woodson Academy @ Ron Brown,Brown
Woodson Academy @ Ron Brown,2012-0042,Against LEA,Woodson Academy@,Brown
KIPP (All Campuses),2012-0043,Against LEA,Woodson Academy@,Brown
Howard Road Academy Public Charte r School,2012-0050,Against LEA,Woodson Academy@,Brown
Howard Road Academy Public Charte r School,2012-0050,Against LEA,Spingarn Senior High Schoo l,Brown
Spingarn Senior High School,2012-0045,Against LEA,Spingarn Senior High School,Brown
Ballou Senior High School,2012-0048,Against LEA,Ballou Senior High School,Ballou Senior High School
Mo n roe School,2012-00 47,Against LEA,Ballou Senior High School,Ballou Senior High School
National Children 's Center 7 woe,2012-0044,Against LEA,Ballou Senior High School,Ballou Senior High School
National Children 's Center 7 woe,2012-0044,Against LEA,Spingarn Senior High School,Ballou Senior High School
Spingarn Senior High School,2012-0049,Against LEA,Spingarn Senior High School,Ballou Senior High School
Spingarn Senior High School,2012-0049,-,Spingarn Senior High School,Ballou Senior High School
High Road DC N-Z,2012-0041,Against LEA,Spingarn Senior High School,Ballou Senior High School
Pathways,2012-0053,Against LEA,Spingarn Senior High School,Wilson Senior High School
Pathways,2012-0053,Against LEA,Ballou Senior High School,Wilson Senior High School
Ballou Senior High School,2012-0052,Against LEA,Ballou Senior High School,Wilson Senior High School
Maya Angelou PCS( all campuses),2012-0054,Against SEA,Ballou Senior High School,Wilson Senior High School
Booker T. Washington,2012-0051,Against LEA,Ballou Senior High School,Wilson Senior High School
Booker T. Washington,2012-0051,Against LEA,Bel l Mu lt icult ural Senior High School,Wilson Senior High School
Bell Mu lt icultural Senior High School,2012-0057,Against LEA,Bel l Mu lt icult ural Senior High School,Wilson Senior High School
Bell Mu lt icultural Senior High School,2012-0057,Against LEA,Bel l Mu lt icult ural Senior High Schoo l,Wilson Senior High School
Bell Mu lt icultural Senior High School,2012-0057,Against LEA,Johnson MS,Wilson Senior High School
Johnson MS,2012-0056,Against LEA,Johnson MS,Wilson Senior High School
Booker T. Washingto n PCS,2012-0055,Against LEA,Johnson MS,Wilson Senior High School
Booker T. Washingto n PCS,2012-0055,Against LEA,Langley EC,Wilson Senior High School
Booker T. Washingto n PCS,2012-0055,-,Langley EC,Wilson Senior High School
0,• V - • • •,•,Langley EC,Wilson Senior High School
0,• V - • • •,•,Garri son ES,Wilson Senior High School
0,• V - • • •,•,Garrison ES,Wilson Senior High School
Garr ison ES,2012--0059,Against LEA,Garrison ES,Garr ison ES
Garr ison ES,2012--0059,Against LEA,Garr ison ES,Garr ison ES
Garrison ES,2012--0058,Against LEA,Garri son ES,Garrison ES
Garrison ES,2012--0058,Against LEA,Garr ison ES,Garrison ES
Garrison ES,2012--0058,Against LEA,Ballou Senior High School,Garrison ES
Ballou Senior High School,2012--0063,Against LEA,Ballou Senior High School,Chelsea School
Ballou Senior High School,2012--0063,Against LEA,Ham ilton Cente r,Chelsea School
Ballou Senior High School,2012--0063,Against LEA,Hamilton Center,Chelsea School
Ronald H. Brown,2012--0065,Expedited Discip line,Ham ilton Cente r,Hamilton Center
Ronald H. Brown,2012--0065,Expedited Discip line,Hamilton Center,Hamilton Center
Monroe School,2012--0064,Against LEA,Mo nroe School,Monro e School
Monroe School,2012--0064,Against LEA,Jeff erson MS,Monro e School
Jefferson MS,2012--0061,Against LEA,Jefferson MS,Jefferson MS
High Road DC A-M,2012--0062,Against LEA,Jefferson MS,Jefferson MS
High Road DC A-M,2012--0062,Against LEA,Thomas Elementary,Jefferson MS
Thomas Element ary School,2012-0074,Against LEA,Thomas Elementary,Jefferson MS
Thomas Element ary School,2012-0074,Against LEA,Thomas Elementar y School,Jefferson MS
Monroe School,2012--0067,Against LEA,Thomas Elementar y School,Monroe School
Mo n roe School,2012--0068,Against LEA,Other,Mo nroe School
Mo n roe School,2012--0068,Against LEA,Francis-Stevens Educat ion Center,Mo nroe School
Mo n roe School,2012--0068,Against LEA,Francis-Stevens Educat ion Center,Francis-Stevens Educat ion
Francis-Steven s Education Center,2012--0066,Against LEA,Francis-Stevens Educat ion Center,Francis-Stevens Educat ion
Francis-Steven s Education Center,2012--0066,Against LEA,Francis-Stevens Educat ion Center,Center
Francis-Steven s Education Center,2012--0066,Against LEA,Franc is-Stevens Educat ion Center,Center
Francis-Steven s Education Center,2012--0066,Against LEA,Francis-Stevens Education Center,Center
Francis-Steven s Education Center,2012--0066,Against LEA,Francis-Stevens Education Center,Woodson Academy@ Ron
Mo nroe School,2012--0073,Against LEA,Francis-Stevens Education Center,Woodson Academy@ Ron
Mo nroe School,2012--0073,Against LEA,Francis-Stevens Education Center,Brow n
Mo nroe School,2012--0073,Against LEA,Roosevelt High School,Brow n
Roosevelt High School,2012--0075,Against LEA,Roosevelt High Schoo l,Brow n
Roosevelt High School,2012--0075,Against LEA,Roosevelt High School,Brow n
Monroe School,2012-0070,Against LEA,Roosevelt High School,Monroe School
Monroe School,2012-0070,Against LEA,Walker-Jones/Turner,Monroe School
Academy for Ideal Educat ion,2012--0072,Against LEA,Walker-Jones/Tu rner EC,Walker-Jones/Turner EC
Cesar Chavez PCS,2012--0071,Against LEA,Walker-Jones/Tu rner EC,Cesar Chavez PCS
Cesar Chavez PCS,2012--0071,Against LEA,Walker-Jones/Tu rner EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Maya Angelou PCSI a ll cam puses),2012--0069,Against LEA,Walker-Jones/Tu rner EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Maya Angelou PCSI a ll cam puses),2012--0069,Against LEA,Kramer M iddle School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Maya Angelou PCSI a ll cam puses),2012--0069,Against LEA,Krame r M iddle School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Kramer Midd le School,2012-0078,Against LEA,Krame r M iddle School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Kramer Midd le School,2012-0078,Against LEA,Krame r M iddle Schoo l,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
New Beginnings Vocatio nal School,2012--0081,Against LEA,Krame r M iddle School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Monroe School,2012--0080,Against LEA,Krame r M iddle School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Monroe School,2012--0080,Against LEA,Brightwood EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Monroe School,2012--0080,Against LEA,Brigh tw ood EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Brightwood EC,2012--0077,Against LEA,Brigh tw ood EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Brightwood EC,2012--0077,Against LEA,Brightwood EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Brightwood EC,2012--0077,Against LEA,Brightw ood EC,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Brightwood EC,2012--0077,Against LEA,Ketcham Eleme ntary Schoo l,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Brightwood EC,2012--0077,Against LEA,Ketcham Elementary,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Ketcham Elementary School,2012--0076,Against LEA,Ketcham Elementary,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Ketcham Elementary School,2012--0076,Against LEA,Ketcham Elementary School,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
Wo odson Academy @ Ron Brown,2012--0079,Against LEA,Woodson Academy @ Ron Brow n,"•• •a y'-' -u,5-..,...,U ...__,\ d l l"
OTHER,2012--0083,Against LEA,Woodson Academy @ Ron Brow n,Cardozo High School
OTHER,2012--0083,Against LEA,Kramer M iddle School,Cardozo High School
Kramer Midd le School,2012-0082,Against LEA,Kramer M iddle School,Cardozo High School
Kramer Midd le School,2012-0082,Against LEA,Kramer M iddle Schoo l,Cardozo High School
Non-Attend ing,2012-0084,Against LEA,Kramer M iddle Schoo l,Cardozo High School
Non-Attend ing,2012-0084,Against LEA,Ballou Senior High School,Cardozo High School
Non-Attend ing,2012-0084,Against LEA,Ballou Senior High Schoo l,Cardozo High School
Ballou Senior HighS chool,2012-0119,Against LEA,Ballou Senior High School,Cardozo High School
Ballou Senior HighS chool,2012-0119,Against LEA,Johnson MS,Cardozo High School
Non-Atten ding,2012--0086,Against LEA,Johnson MS,Cardozo High School
Chelsea School,2012-0085,Against LEA,Johnson MS,Cardozo High School
Chelsea School,2012-0085,Against LEA,Hart M idd le School,Cardozo High School
Chelsea School,2012-0085,Against LEA,Hart Middle School,Cardozo High School
Hart Midd le School,2012--0089,Against LEA,Hart Midd le School,Hart M iddle Schoo l
Hart Midd le School,2012--0089,Against LEA,Hart M iddle School,Hart M iddle Schoo l
Hart Midd le School,2012--0089,Against LEA,Johnson MS,Hart M iddle Schoo l
Johnson MS,2012--0090,Against LEA,Johnson MS,Johnson MS
Johnson MS,2012--0090,Against LEA,Lab School of Washington,Johnson MS
Lab School of Washington,2012--0092,Against LEA,Lab Schoo I of Washington,Mann Elementary School
Lab School of Washington,2012--0092,Against LEA,Lab School of Washington,Mann Elementary School
Lab School of Washington,2012--0092,Against LEA,Hart Midd le School,Mann Elementary School
Hart Mi ddle School,2012-0087,Against LEA,Hart Midd le School,Mann Elementary School
Hart Mi ddle School,2012-0087,Against LEA,Hart M i dd Ie  School,Mann Elementary School
Tree of Life Commun ity PCS,2012-0091,Against LEA,Hart M i dd Ie  School,Mann Elementary School
Tree of Life Commun ity PCS,2012-0091,Against LEA,Shaw MS@ Garnet-Patterson,Mann Elementary School
Tree of Life Commun ity PCS,2012-0091,Against LEA,Shaw MS@ Garnet -Patterson,Mann Elementary School
Shaw MS@ Garnet -Patterson,2012-0088,Against LEA,Shaw MS@ Garnet-Patte rson,Shaw MS @ Gamet -Patt erson
Shaw MS@ Garnet -Patterson,2012-0088,Against LEA,Shaw MS@ Garnet -Patt erson,Shaw MS @ Gamet -Patt erson
OTHER,2012-0093,Against LEA,OTHER,Shaw MS @ Gamet -Patt erson
Cesar Chavez PCS,2012-0096,Against LEA,OTHER,Shaw MS @ Gamet -Patt erson
Cesar Chavez PCS,2012-0096,Against LEA,Dunbar High Schoo l,Shaw MS @ Gamet -Patt erson
Cesar Chavez PCS,2012-0096,Against LEA,Dunbar High School,Shaw MS @ Gamet -Patt erson
Cesar Chavez PCS,2012-0096,•,Dunbar High School,Shaw MS @ Gamet -Patt erson
Dunbar High School,2012-0097,Expedited Discipline,Dunbar High School,Shaw MS @ Gamet -Patt erson
Dunbar High School,2012-0097,Expedited Discipline,Hyde ES,Shaw MS @ Gamet -Patt erson
Hyde ES,2012-0095,Against LEA,Hyde ES,Shaw MS @ Gamet -Patt erson
Monroe School,2012-0094,Against LEA,Mo nroe School,Shaw MS @ Gamet -Patt erson
Monroe School,2012-0094,Against LEA,Anacost ia Senior High School,Shaw MS @ Gamet -Patt erson
Anacost ia Senior High School,2012-0100,Against LEA,Anacostla Senior High School,Shaw MS @ Gamet -Patt erson
Anacost ia Senior High School,2012-0100,Against LEA,Anacostia Senior High School,Shaw MS @ Gamet -Patt erson
Anacost ia Senior High School,2012-0100,Against LEA,River Terrace ES,Shaw MS @ Gamet -Patt erson
River Terrace ES,2012-0098,Against LEA,River Terrace ES,River Terrace ES
Episcopal Center fo r Children,2012-0099,Against LEA,River Terrace ES,River Terrace ES
New Beginnings Vocatio nal School,2012-010 1,Against LEA,River Terrace ES,River Terrace ES
New Beginnings Vocatio nal School,2012-010 1,Against LEA,Dunbar High School,River Terrace ES
Dun bar High School,2012-0104,Expedited Discipline,Dunbar High School,Dunbar High School
Dun bar High School,2012-0104,Expedited Discipline,Dunbar High Schoo l,Dunbar High School
Dun bar High School,2012-0104,Expedited Discipline,Dunbar High School,Woodso n Academy@ Ron
St. Coletta Special Educat ion PCS,2012-0103,Against LEA,Dunbar High School,Brown
New Beginnings Vocationa l School,2012-0106,Against LEA,Dunbar High School,Brown
Phil lips School,2012-0102,Against LEA,Dunbar High School,Brown
",.. • •",• • r,•,Dunbar High School,Brown
Episcopal Center for Children,2012-0107,Against LEA,Dunbar High School,Brown
Kelly M il ler MS,2012-0108,Against LEA,Kelly MI iier MS,Kelly M il ler MS
Kelly M il ler MS,2012-0108,Against LEA,Kelly MI iier MS,Friendship Collegiate Academy
Friendship Collegiate Academy PCS! all campuses),2012-0111,Expedited Discip line,Kelly MI iier MS,Friendship Collegiate Academy
Friendship Collegiate Academy PCS! all campuses),2012-0111,Expedited Discip line,Kelly MI iier MS,PCS! all campuses)
Friendship Collegiate Academy PCS! all campuses),2012-0111,Expedited Discip line,"Wi lliam E. Doar, Jr. PCSf or the Perfo rm ing Arts",PCS! all campuses)
"Wi ll iam E. Doar, Jr. PCSf or the Perform ing Arts",2012--0110,Against LEA,"Wi lliam E. Doar, Jr. PCSf or the Perfo rm ing Arts",PCS! all campuses)
"Wi ll iam E. Doar, Jr. PCSf or the Perform ing Arts",2012--0110,Against LEA,"Will iam E. Doar, Jr. PCSf or the Perfor ming Arts",PCS! all campuses)
Cesar Chavez PCS,2012--0109,Against LEA,"Will iam E. Doar, Jr. PCSf or the Perfor ming Arts",PCS! all campuses)
Deal M iddle School,2012--0117,Against LEA,Deal Midd le School,Deal M iddle Schoo l
E.L. Haynes PCS,2012-0115,Against LEA,Deal Midd le School,Deal M iddle Schoo l
E.L. Haynes PCS,2012-0115,Against LEA,Wilson Senior High School,Deal M iddle Schoo l
Wi lson Senior High School,2012--0113,Against LEA,Wilson Senior High School,Deal M iddle Schoo l
Academy for Ideal Education,2012--0114,Against LEA,Wilson Senior High School,Deal M iddle Schoo l
Academy for Ideal Education,2012--0114,Against LEA,Ballou Senior High School,Deal M iddle Schoo l
Bal lou Senior High School,2012-0112,Expedited Discip line,Ballou Senior High School,Deal M iddle Schoo l
E.L. Haynes PCS,2012--0116,Against LEA,Ballou Senior High School,Deal M iddle Schoo l
E.L. Haynes PCS,2012--0116,Against LEA,Wi lson Senior High School,Deal M iddle Schoo l
Wi lson Senior High School,2012--0120,Against LEA,Wi lson Senior High School,Wilson Senior High School
Wi lson Senior High School,2012--0120,Against LEA,Wilson Senior High School,Wilson Senior High School
Wi lson Senior High School,2012--0120,Against LEA,Academy fo r Ideal Education,Wilson Senior High School
Wi lson Senior High School,2012--0120,Against LEA,Academy fo r Ideal Educat ion,Wilson Senior High School
Wi lson Senior High School,2012--0120,Against LEA,Academy fo r idea l Educat ion,Wilson Senior High School
Academy for Ideal Educat ion,2012--0118,Against LEA,Academy fo r idea l Educat ion,Academy for Ideal Education
Academy for Ideal Educat ion,2012--0118,Against LEA,Academy for idea l Educat ion,Academy for Ideal Education
Academy for Ideal Educat ion,2012--0118,Against LEA,Academy for Ideal Education,Academy for Ideal Education
Academy for Ideal Educat ion,2012--0118,Against LEA,Academy fo r Ideal Education,Academy for Ideal Education
Academy for Ideal Educat ion,2012--0118,Against LEA,Cardozo High School,Academy for Ideal Education
OTHER,2012--0122,Against LEA,Cardozo High School,cardozo High School
Opt ions PCS,2012--0121,Against LEA,Cardozo High School,cardozo High School
Opt ions PCS,2012--0121,Against LEA,Marsha ll Educationa l Center,cardozo High School
Opt ions PCS,2012--0121,Against LEA,Marsha ll Educational Center,cardozo High School
Marsha ll Educat iona l Center,2012--0124,Against LEA,Marsha ll Educational Center,Amidon Elementary School
Marsha ll Educat iona l Center,2012--0124,Against LEA,Marsha ll Educationa l Center,Amidon Elementary School
Marsha ll Educat iona l Center,2012--0124,Against LEA,Ludlow-Taylor ES,Amidon Elementary School
Marsha ll Educat iona l Center,2012--0124,Against LEA,Ludlow -Taylor ES,Amidon Elementary School
Ludlow -Taylor ES,2012--0129,Against LEA,Ludlow-Tay lor ES,Amidon Elementary School
Ludlow -Taylor ES,2012--0129,Against LEA,Ludlow-Taylor ES,Amidon Elementary School
Ludlow -Taylor ES,2012--0129,Against LEA,Ludlow -Taylor ES,Amidon Elementary School
Ludlow -Taylor ES,2012--0129,Against LEA,Langdon Elementary,Amidon Elementary School
Langdon Elementary School,2012--0128,Against LEA,Langdon Elementary,Langdon Elementary School
Langdon Elementary School,2012--0128,Against LEA,Eastern High School,Langdon Elementary School
Eastern High School,2012--0127,Against LEA,Eastern High School,Eastern High School
Imagine Southeast PCS,2012--0123,Against LEA,Eastern High School,Eastern High School
Imagine Southeast PCS,2012--0123,Against LEA,Burrvil le Element ary Schoo l,Eastern High School
Burrville Elementary,2012-0125,Aga inst LEA,Burrvil le Element ary Schoo l,Burr ville Elementary
Burrville Elementary,2012-0125,Aga inst LEA,Burrvil le Elementary Schoo l,Burr ville Elementary
Burrville Elementary,2012-0125,Aga inst LEA,Jefferson MS,Burr ville Elementary
Burrville Elementary,2012-0125,Aga inst LEA,Jeff erson M S,Burr ville Elementary
Burrville Elementary,2012-0125,Aga inst LEA,Jeff erson MS,Burr ville Elementary
Jefferson MS,2012-0126,Exped ite d Discipline,Jeff erson MS,Burr ville Elementary
Jefferson MS,2012-0126,Exped ite d Discipline,Jefferson MS,Burr ville Elementary
Jefferson MS,2012-0126,Exped ite d Discipline,Jeff erson M S,Burr ville Elementary
Jefferson MS,2012-0126,Exped ite d Discipline,W inston EC,Burr ville Elementary
Winston EC,2012-0132,Against LEA,W inston EC,Burr ville Elementary
Winston EC,2012-0132,Against LEA,Winston EC,Burr ville Elementary
OTHER,2012-0134,Expedited Discip line,Winston EC,Brow ne EC
Cesar Chavez PCS,2012-0130,Aga inst LEA,Winston EC,Brow ne EC
Cesar Chavez PCS,2012-0130,Aga inst LEA,W inston EC,Brow ne EC
Winston EC,2012-0133,Aga inst LEA,W inston EC,Brow ne EC
Winston EC,2012-0133,Aga inst LEA,Winston EC,Brow ne EC
Winston EC,2012-0133,Aga inst LEA,Wa lker-Jones/Tu rner EC,Brow ne EC
Winston EC,2012-0133,Aga inst LEA,Wa lker-Jones/T urner EC,Brow ne EC
Walker-Jones/T urne r EC,2012-0131,Against LEA,Walker-Jones/Tur ner EC,Brow ne EC
Walker-Jones/T urne r EC,2012-0131,Against LEA,Wa lker-Jones/Tu rner EC,Brow ne EC
Walker-Jones/T urne r EC,2012-0131,Against LEA,Columb ia Heights Educat ion Center High School,Brow ne EC
Walker-Jones/T urne r EC,2012-0131,Against LEA,Columb ia Height s Educat ion Center High School,Brow ne EC
Colum bia Heights Educat ion Center High Schoo l,2012-0135,Aga inst LEA,Columb ia Heights Educat ion Center High School,Brow ne EC
Colum bia Heights Educat ion Center High Schoo l,2012-0135,Aga inst LEA,Columb ia Heigh ts Educat ion Center High School,Brow ne EC
Colum bia Heights Educat ion Center High Schoo l,2012-0135,Aga inst LEA,Wilson Senior High School,Brow ne EC
W ilson Sen ior High School,2012-0136,Against LEA,Wilson Senior High School,Brow ne EC
W ilson Sen ior High School,2012-0136,Against LEA,John Burroughs EC,Brow ne EC
W ilson Sen ior High School,2012-0136,Against LEA,John Burro ughs EC,Brow ne EC
John Burroug hs EC,2012-0137,Aga inst LEA,John Burroughs EC,Brow ne EC
DC Preparatory,2012-0141,Exped ite d Discip line,John Burroughs EC,Brow ne EC
DC Preparatory,2012-0141,Exped ite d Discip line,Wilson Senior High School,Brow ne EC
DC Preparatory,2012-0141,02/ 15/2012,Wilson Senior High School,Brow ne EC
W ilson Senior High School,2012--0139,02/ 15/2012,Wi lson Senior High School,Wi lson Senio r High School
W ilson Senior High School,2012--0139,02/ 15/2012,Wilson Senior High School,Wi lson Senio r High School
W ilson Senior High School,2012--0139,02/ 15/2012,Roosevelt High School,Wi lson Senio r High School
Roosevelt High School,2012--0138,02/ 15/2012,Roosevelt High School,Wi lson Senio r High School
Roosevelt High School,2012--0138,02/ 15/2012,Accotink Academy,Wi lson Senio r High School
Accot ink Academy,2012--0142,02/ 15/2012,Accot ink Academy,Wi lson Senio r High School
Accot ink Academy,2012--0142,02/ 15/2012,Accotink Academy,Wi lson Senio r High School
Cente r City PCS,2012--0140,02/ 15/2012,Accotink Academy,Center City PCS
